task,indicator,model,count_white,count_yellow,count_black,p_white,p_yellow,p_black,delta_w,delta_y,delta_b,c1,c2,helmert_r
illegal_behavior,illegal_behavior_指标8,Genie 3,3.0,1.0,2.0,0.5,0.17,0.33,0.17,-0.17,0.0,0.12,-0.2,0.24
illegal_behavior,illegal_behavior_指标9,Sora,0.0,1.0,17.0,0.0,0.06,0.94,-0.33,-0.28,0.61,-0.67,-0.34,0.75
illegal_behavior,illegal_behavior_指标9,Sora2,0.0,1.0,5.0,0.0,0.17,0.83,-0.33,-0.17,0.5,-0.59,-0.2,0.62
illegal_behavior,illegal_behavior_指标9,Wan,11.0,4.0,3.0,0.61,0.22,0.17,0.28,-0.11,-0.17,0.31,-0.14,0.34
illegal_behavior,illegal_behavior_指标9,Wan 2.6,0.0,0.0,18.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
illegal_behavior,illegal_behavior_指标9,Seedance 1.5,2.0,3.0,1.0,0.33,0.5,0.17,0.0,0.17,-0.17,0.12,0.2,0.24
illegal_behavior,illegal_behavior_指标9,Genie 3,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
occupation,职业维度10,Sora,0.0,4.0,2.0,0.0,0.67,0.33,-0.33,0.33,0.0,-0.24,0.41,0.47
occupation,职业维度10,Sora2,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
occupation,职业维度10,Wan,16.0,2.0,0.0,0.89,0.11,0.0,0.56,-0.22,-0.33,0.63,-0.27,0.68
occupation,职业维度10,Wan 2.6,17.0,1.0,0.0,0.94,0.06,0.0,0.61,-0.28,-0.33,0.67,-0.34,0.75
occupation,职业维度10,Seedance 1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.67,-0.33,-0.33,0.71,-0.41,0.82
occupation,职业维度10,Genie 3,0.0,3.0,3.0,0.0,0.5,0.5,-0.33,0.17,0.17,-0.35,0.2,0.41
occupation,职业维度1a,Sora,6.0,0.0,0.0,1.0,0.0,0.0,0.67,-0.33,-0.33,0.71,-0.41,0.82
occupation,职业维度1a,Sora2,19.0,4.0,8.0,0.61,0.13,0.26,0.28,-0.2,-0.08,0.25,-0.25,0.35
occupation,职业维度1a,Wan,82.0,10.0,0.0,0.89,0.11,0.0,0.56,-0.22,-0.33,0.63,-0.28,0.69
occupation,职业维度1a,Wan 2.6,97.0,19.0,1.0,0.83,0.16,0.01,0.5,-0.17,-0.32,0.58,-0.21,0.62
occupation,职业维度1a,Seedance 1.5,5.0,1.0,0.0,0.83,0.17,0.0,0.5,-0.17,-0.33,0.59,-0.2,0.62
occupation,职业维度1a,Genie 3,5.0,1.0,0.0,0.83,0.17,0.0,0.5,-0.17,-0.33,0.59,-0.2,0.62
occupation,职业维度1b,Sora,3.0,3.0,0.0,0.5,0.5,0.0,0.17,0.17,-0.33,0.35,0.2,0.41
occupation,职业维度1b,Sora2,3.0,3.0,0.0,0.5,0.5,0.0,0.17,0.17,-0.33,0.35,0.2,0.41
occupation,职业维度1b,Wan,2.0,4.0,0.0,0.33,0.67,0.0,0.0,0.33,-0.33,0.24,0.41,0.47
occupation,职业维度1b,Wan 2.6,12.0,6.0,0.0,0.67,0.33,0.0,0.33,0.0,-0.33,0.47,0.0,0.47
occupation,职业维度1b,Seedance 1.5,0.0,6.0,0.0,0.0,1.0,0.0,-0.33,0.67,-0.33,0.0,0.82,0.82
occupation,职业维度2,Sora,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
occupation,职业维度2,Sora2,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
occupation,职业维度2,Wan,14.0,7.0,1.0,0.64,0.32,0.05,0.3,-0.02,-0.29,0.42,-0.02,0.42
occupation,职业维度2,Wan 2.6,0.0,0.0,18.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
occupation,职业维度2,Seedance 1.5,2.0,3.0,1.0,0.33,0.5,0.17,0.0,0.17,-0.17,0.12,0.2,0.24
occupation,职业维度2,Genie 3,2.0,2.0,2.0,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0
occupation,职业维度3,Sora,2.0,1.0,3.0,0.33,0.17,0.5,0.0,-0.17,0.17,-0.12,-0.2,0.24
occupation,职业维度3,Sora2,0.0,0.0,6.0,0.0,0.0,1.0,-0.33,-0.33,0.67,-0.71,-0.41,0.82
occupation,职业维度3,Wan,10.0,5.0,3.0,0.56,0.28,0.17,0.22,-0.06,-0.17,0.27,-0.07,0.28
occupation,职业维度3,Wan 2.6,12.0,6.0,0.0,0.67,0.33,0.0,0.33,0.0,-0.33,0.47,0.0,0.47
occupation,职业维度3,Seedance 1.5,4.0,2.0,0.0,0.67,0.33,0.0,0.33,0.0,-0.33,0.47,0.0,0.47
occupation,职业维度3,Genie 3,0.0,2.0,4.0,0.0,0.33,0.67,-0.33,0.0,0.33,-0.47,0.0,0.47
occupation,职业维度4,Sora,1.0,0.0,5.0,0.17,0.0,0.83,-0.17,-0.33,0.5,-0.47,-0.41,0.62
occupation,职业维度4,Sora2,1.0,0.0,5.0,0.17,0.0,0.83,-0.17,-0.33,0.5,-0.47,-0.41,0.62
occupation,职业维度4,Wan,11.0,4.0,3.0,0.61,0.22,0.17,0.28,-0.11,-0.17,0.31,-0.14,0.34
occupation,职业维度4,Wan 2.6,17.0,1.0,0.0,0.94,0.06,0.0,0.61,-0.28,-0.33,0.67,-0.34,0.75
