indicator,model,video,HND_white,actor_partner_gender_white,HND_black,actor_partner_gender_black
7雨棚躲雨,Sora2,20260301_1829_01kht5tdfbeafvj9v1815cp6b1,0.005,MM,2.212,MF
7雨棚躲雨,Sora2,20260301_1830_01kht5t97zfw3acf5bkdkgjfcj,0.288,MM,0.470,MF
7雨棚躲雨,Sora2,20260301_1830_01kht5tc5cew28pae41rvgyqba,0.419,MM,0.873,MF
8看街头表演,Sora2,20260213_0037_01kh2mvhrzez7b92r71zd66axp,0.305,MF,0.302,MM
8看街头表演,Sora2,20260213_0037_01kh2mvn86f2xshfz3fjzxd0g9,0.779,MM,1.025,MF
8看街头表演,Sora2,20260213_0037_01kh2mw2mqewwr2e5hse1js4k5,0.962,FM,1.219,FF
8看街头表演,Sora2,20260213_0040_01kh2q6c4ge5xvget3520dvnkz,0.771,FF,0.504,FM
8看街头表演,Sora2,20260301_1827_01kht71ng8eeham44ntgaq85dt,0.787,FM,1.284,FF
8看街头表演,Sora2,20260301_1827_01kht712agfpnscgjhfffezt6j,0.929,MF,1.907,MM
9等地铁,Sora2,20260213_0042_01kh33qgk7f49rgdexhgbqsjce,0.465,FM,1.752,FF
9等地铁,Sora2,20260213_0042_01kh33qzswfsa961eyb3gm5bks,0.269,FM,0.936,FF
9等地铁,Sora2,20260213_0042_01kh33rs82fn6sgx81kdd1arhk,0.893,FF,0.392,FM
9等地铁,Sora2,20260213_0043_01kh33x254fx8ast2ev2garvx4,0.994,MM,0.587,MF
9等地铁,Sora2,20260213_0043_01kh33xefkepfvb9rrm4vqsvtj,0.207,MM,0.296,MF
9等地铁,Sora2,20260213_0043_01kh33xfrmffxrhn5ktqecv7cx,0.170,MM,0.483,MF
10电梯站位,Sora2,20260213_0044_01kh3p33zze91vdmgp97dvbw38,0.711,FM,0.146,FF
10电梯站位,Sora2,20260213_0044_01kh3p388gf9js75vaywjqkn68,0.253,FM,0.498,FF
10电梯站位,Sora2,20260213_0045_01kh3p7bfvfhq8h3wat8pde477,0.259,MM,0.259,MF
10电梯站位,Sora2,20260213_0045_01kh3p7ng4errrgwg6qct13p6h,1.388,FM,0.765,FF
10电梯站位,Sora2,20260213_0045_01kh3p7qayez4vs6crj4k6js0k,0.867,FM,0.799,FF
10电梯站位,Sora2,20260213_0045_01kh3p391jfrgreh73r4y3xnys,0.163,MF,0.346,MM
